DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3160065;1;1;2;1;2;76;1;03;228,294421317591
3160065;1;2;2;1;2;76;1;03;228,294421317591
3160065;1;3;2;1;2;76;1;03;228,294421317591
3160065;1;4;2;1;2;76;1;03;228,294421317591
3160066;1;1;2;1;2;17;2;03;243,721868941493
3160067;1;1;1; ; ; ; ;03;260,619164920495
3160067;1;2;1; ; ; ; ;03;260,619164920495
3160068;1;1;1; ; ; ; ;03;189,031847537972
3160068;1;2;1; ; ; ; ;03;189,031847537972
3160068;1;3;1; ; ; ; ;03;189,031847537972
3160068;1;4;1; ; ; ; ;03;189,031847537972
3160068;1;5;1; ; ; ; ;03;189,031847537972
3160069;1;1;2;6; ; ; ;03;213,637091035596
3160069;1;2;2;6; ; ; ;03;213,637091035596
3160069;1;3;2;6; ; ; ;03;213,637091035596
3160069;1;4;2;6; ; ; ;03;213,637091035596
3160070;1;1;2;6; ; ; ;03;174,337439490328
3160070;1;2;2;6; ; ; ;03;174,337439490328
3160070;1;3;2;6; ; ; ;03;174,337439490328
3160070;1;4;1; ; ; ; ;03;174,337439490328
3160071;1;1;1; ; ; ; ;03;201,342369205877
3160071;1;2;1; ; ; ; ;03;201,342369205877
3160072;1;1;2;5;2;18;1;03;193,926584753711
3160072;1;2;2;5;2;18;1;03;193,926584753711
3160072;1;3;2;5;2;18;1;03;193,926584753711
3160072;1;5;2;5;2;18;1;03;193,926584753711
3160074;1;1;2;6; ; ; ;03;268,1825440449
3160075;1;1;2;6; ; ; ;03;256,019566846421
3160075;1;2;2;6; ; ; ;03;256,019566846421
3160076;1;1;1; ; ; ; ;03;199,895916786658
3160076;1;2;1; ; ; ; ;03;199,895916786658
3160076;1;3;1; ; ; ; ;03;199,895916786658
3160077;1;1;2;6; ; ; ;03;187,601194956938
3160078;1;1;1; ; ; ; ;03;216,114641881934
3160078;1;2;1; ; ; ; ;03;216,114641881934
3160079;1;1;2;6; ; ; ;03;215,083543454815
3160079;1;2;1; ; ; ; ;03;215,083543454815
3160079;1;3;1; ; ; ; ;03;215,083543454815
3160080;1;1;2;2;2;73;1;03;216,114641881934
3160080;1;2;2;2;2;73;1;03;216,114641881934
3160080;1;3;2;2;2;73;1;03;216,114641881934
3160081;1;1;1; ; ; ; ;03;231,22221424062
3160081;1;2;2;6; ; ; ;03;231,22221424062
3160082;1;1;2;6; ; ; ;03;324,570751715732
3160082;1;2;2;6; ; ; ;03;324,570751715732
3160082;1;3;2;6; ; ; ;03;324,570751715732
3160082;1;5;2;6; ; ; ;03;324,570751715732
3160083;1;1;1; ; ; ; ;03;245,233362226148
3160083;1;2;2;6; ; ; ;03;245,233362226148
3160083;1;3;1; ; ; ; ;03;245,233362226148
3160083;1;4;1; ; ; ; ;03;245,233362226148
3160084;1;1;2;6; ; ; ;03;371,475923189883
3160084;1;2;2;6; ; ; ;03;371,475923189883
3160084;1;3;2;6; ; ; ;03;371,475923189883
3160084;1;4;1; ; ; ; ;03;371,475923189883
3160084;1;5;1; ; ; ; ;03;371,475923189883
3160085;1;1;1; ; ; ; ;03;215,688816874034
3160085;1;2;2;6; ; ; ;03;215,688816874034
3160086;1;1;2;6; ; ; ;03;196,265993897761
3160086;1;2;2;6; ; ; ;03;196,265993897761
3160086;1;3;2;6; ; ; ;03;196,265993897761
3160087;1;1;2;6; ; ; ;03;260,005634902205
3160087;1;2;2;6; ; ; ;03;260,005634902205
3160087;1;3;2;6; ; ; ;03;260,005634902205
3160087;1;4;2;6; ; ; ;03;260,005634902205
3160088;1;1;2;6; ; ; ;03;164,382039401597
3160088;1;2;2;6; ; ; ;03;164,382039401597
3160088;1;3;2;6; ; ; ;03;164,382039401597
3160090;1;1;1; ; ; ; ;03;244,202263799029
3160090;1;2;1; ; ; ; ;03;244,202263799029
3160090;1;3;1; ; ; ; ;03;244,202263799029
3160090;1;4;1; ; ; ; ;03;244,202263799029
3160091;1;1;2;6; ; ; ;03;314,113729657262
3160091;1;2;2;6; ; ; ;03;314,113729657262
3160091;1;3;1; ; ; ; ;03;314,113729657262
3160091;1;4;1; ; ; ; ;03;314,113729657262
3160093;1;1;1; ; ; ; ;03;83,6821580386364
3160094;1;1;1; ; ; ; ;03;23,9355901225276
3160095;1;1;1; ; ; ; ;03;95,4427398475427
3160095;1;2;1; ; ; ; ;03;95,4427398475427
3160096;1;1;1; ; ; ; ;03;102,923037526869
3160097;1;1;1; ; ; ; ;03;25,776789362722
3160097;1;2;1; ; ; ; ;03;25,776789362722
3160098;1;1;1; ; ; ; ;03;25,776789362722
3160098;1;2;1; ; ; ; ;03;25,776789362722
3160099;1;1;1; ; ; ; ;03;25,776789362722
3160099;1;2;1; ; ; ; ;03;25,776789362722
3160100;1;1;1; ; ; ; ;03;23,9355901225276
3160101;1;1;1; ; ; ; ;03;102,923037526869
3160101;1;2;2;2;2;27;2;03;102,923037526869
3160101;1;3;1; ; ; ; ;03;102,923037526869
3160101;1;4;1; ; ; ; ;03;102,923037526869
3160101;1;5;1; ; ; ; ;03;102,923037526869
3160101;1;6;1; ; ; ; ;03;102,923037526869
3160101;1;7;1; ; ; ; ;03;102,923037526869
3160101;1;8;2;6; ; ; ;03;102,923037526869
3160102;1;1;1; ; ; ; ;03;110,840194259705
3160102;1;2;1; ; ; ; ;03;110,840194259705
3160103;1;1;1; ; ; ; ;03;23,9355901225276
3160103;1;2;1; ; ; ; ;03;23,9355901225276
3160104;1;1;2;6; ; ; ;03;102,923037526869
3160104;1;2;1; ; ; ; ;03;102,923037526869
3160104;1;3;1; ; ; ; ;03;102,923037526869
3160104;1;5;1; ; ; ; ;03;102,923037526869
3160105;1;1;1; ; ; ; ;03;62,9084958493397
3160105;1;2;1; ; ; ; ;03;62,9084958493397
3160106;1;1;1; ; ; ; ;03;23,9355901225276
3160106;1;2;1; ; ; ; ;03;23,9355901225276
3160107;1;1;1; ; ; ; ;03;153,402200053708
