DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3139152;1;1;1; ; ; ; ;02;257,946830534994
3139152;1;2;1; ; ; ; ;02;257,946830534994
3139153;1;1;1; ; ; ; ;02;68,7505942859944
3139153;1;2;1; ; ; ; ;02;68,7505942859944
3139153;1;3;2;6; ; ; ;02;68,7505942859944
3139154;1;1;2;1;2;18;2;02;80,1466621827743
3139154;1;2;2;1;2;18;2;02;80,1466621827743
3139154;1;3;2;1;2;18;2;02;80,1466621827743
3139155;1;1;1; ; ; ; ;02;69,189601792724
3139155;1;2;2;6; ; ; ;02;69,189601792724
3139156;1;1;1; ; ; ; ;02;87,2332869836311
3139156;1;2;1; ; ; ; ;02;87,2332869836311
3139156;1;3;1; ; ; ; ;02;87,2332869836311
3139157;1;1;2;1;2;23;1;02;56,8450177446307
3139157;1;2;2;1;2;23;1;02;56,8450177446307
3139158;1;1;2;6; ; ; ;02;79,1981460314609
3139158;1;2;2;6; ; ; ;02;79,1981460314609
3139158;1;3;2;6; ; ; ;02;79,1981460314609
3139159;1;1;2;6; ; ; ;02;56,4968498517432
3139159;1;2;2;6; ; ; ;02;56,4968498517432
3139160;1;1;2;6; ; ; ;02;65,5186924471968
3139160;1;2;2;6; ; ; ;02;65,5186924471968
3139161;1;1;2;6; ; ; ;02;303,432940443764
3139161;1;2;2;6; ; ; ;02;303,432940443764
3139161;1;3;2;6; ; ; ;02;303,432940443764
3139161;1;4;1; ; ; ; ;02;303,432940443764
3139162;1;1;1; ; ; ; ;02;242,450005138082
3139162;1;2;1; ; ; ; ;02;242,450005138082
3139163;1;1;2;6; ; ; ;02;89,1685047782278
3139163;1;2;2;6; ; ; ;02;89,1685047782278
3139163;1;3;2;6; ; ; ;02;89,1685047782278
3139163;1;4;1; ; ; ; ;02;89,1685047782278
3139164;1;1;1; ; ; ; ;02;55,6692467757229
3139164;1;2;1; ; ; ; ;02;55,6692467757229
3139165;1;1;2;4;2;41;1;02;59,7995164168974
3139165;1;2;2;4;2;41;1;02;59,7995164168974
3139165;1;4;2;3;2;41;1;02;59,7995164168974
3139166;1;1;2;6; ; ; ;02;88,8525538376415
3139167;1;1;2;6; ; ; ;02;75,3277104422675
3139167;1;2;2;6; ; ; ;02;75,3277104422675
3139168;1;1;2;1;2;41;2;02;66,3058678468139
3139169;1;1;2;6; ; ; ;02;47,6972661074507
3139169;1;2;1; ; ; ; ;02;47,6972661074507
3139169;1;3;1; ; ; ; ;02;47,6972661074507
3139170;1;1;1; ; ; ; ;02;969,296609032484
3139170;1;2;2;6; ; ; ;02;969,296609032484
3139171;1;1;2;4;2;76;1;02;609,728173504947
3139173;1;1;2;6; ; ; ;02;975,170417452646
3139173;1;2;2;6; ; ; ;02;975,170417452646
3139173;1;3;2;6; ; ; ;02;975,170417452646
3139174;1;1;2;6; ; ; ;02;449,306970721087
3139174;1;2;2;3;2;76;1;02;449,306970721087
3139175;1;1;2;6; ; ; ;02;732,940694943682
3139176;1;1;2;6; ; ; ;02;1273,37657720328
3139176;1;2;2;6; ; ; ;02;1273,37657720328
3139176;1;4;2;4;2;68;1;02;1273,37657720328
3139177;1;1;2;1;1; ; ;02;699,687610282288
3139177;1;2;1; ; ; ; ;02;699,687610282288
3139177;1;3;1; ; ; ; ;02;699,687610282288
3139177;1;4;1; ; ; ; ;02;699,687610282288
3139177;1;5;2;1;1; ; ;02;699,687610282288
3139177;1;6;1; ; ; ; ;02;699,687610282288
3139178;1;1;2;6; ; ; ;02;1337,48663521676
3139178;1;2;2;6; ; ; ;02;1337,48663521676
3139178;1;3;2;6; ; ; ;02;1337,48663521676
3139179;1;1;2;6; ; ; ;02;946,722250443991
3139179;1;2;1; ; ; ; ;02;946,722250443991
3139180;1;1;2;6; ; ; ;02;1053,01943828864
3139180;1;2;2;6; ; ; ;02;1053,01943828864
3139180;1;3;2;6; ; ; ;02;1053,01943828864
3139180;1;4;2;6; ; ; ;02;1053,01943828864
3139180;1;6;2;6; ; ; ;02;1053,01943828864
3139180;1;7;1; ; ; ; ;02;1053,01943828864
3139181;1;1;1; ; ; ; ;02;516,256363900389
3139181;1;2;1; ; ; ; ;02;516,256363900389
3139182;1;1;2;6; ; ; ;02;943,275667050741
3139182;1;2;2;6; ; ; ;02;943,275667050741
3139182;1;3;1; ; ; ; ;02;943,275667050741
3139183;1;1;2;6; ; ; ;02;609,728173504947
3139184;1;1;1; ; ; ; ;02;609,728173504947
3139185;1;1;2;6; ; ; ;02;645,069507300103
3139185;1;2;2;6; ; ; ;02;645,069507300103
3139186;1;1;2;6; ; ; ;02;939,82908365749
3139186;1;2;2;6; ; ; ;02;939,82908365749
3139187;1;1;2;6; ; ; ;02;1248,25911549601
3139187;1;2;2;6; ; ; ;02;1248,25911549601
3139187;1;3;1; ; ; ; ;02;1248,25911549601
3139188;1;1;2;6; ; ; ;02;1004,91112928682
3139188;1;2;2;6; ; ; ;02;1004,91112928682
3139188;1;3;1; ; ; ; ;02;1004,91112928682
3139188;1;4;1; ; ; ; ;02;1004,91112928682
3139189;1;1;2;6; ; ; ;02;544,478306430944
3139189;1;2;2;6; ; ; ;02;544,478306430944
3139189;1;3;2;6; ; ; ;02;544,478306430944
3139189;1;4;2;6; ; ; ;02;544,478306430944
3139189;1;5;2;1;2;19;1;02;544,478306430944
3139190;1;1;2;5;2;11;2;02;431,757967222856
3139190;1;2;2;5;2;11;2;02;431,757967222856
3139190;1;4;2;5;2;11;2;02;431,757967222856
3139191;1;1;1; ; ; ; ;02;277,717238347247
3139192;1;1;1; ; ; ; ;02;446,987129668421
3139193;1;1;1; ; ; ; ;02;415,390220486149
3139193;1;2;2;6; ; ; ;02;415,390220486149
3139195;1;1;2;6; ; ; ;02;366,309082400742
3139195;1;2;2;6; ; ; ;02;366,309082400742
3139195;1;3;1; ; ; ; ;02;366,309082400742
3139195;2;1;1; ; ; ; ;02;366,309082400742
3139196;1;1;2;6; ; ; ;02;267,458436165926
3139196;1;2;1; ; ; ; ;02;267,458436165926
3139196;1;3;1; ; ; ; ;02;267,458436165926
3139197;1;1;2;6; ; ; ;02;372,590009454756
3139197;1;2;2;1;2;76;1;02;372,590009454756
3139197;1;3;2;6; ; ; ;02;372,590009454756
3139197;1;4;2;5;2;05;1;02;372,590009454756
3139198;1;1;2;6; ; ; ;02;401,9820364089
3139198;1;2;1; ; ; ; ;02;401,9820364089
3139198;1;3;1; ; ; ; ;02;401,9820364089
3139199;1;1;2;1;2;19;1;02;452,794629521031
3139199;1;2;2;1;2;19;1;02;452,794629521031
3139199;1;3;2;1;2;19;1;02;452,794629521031
3139202;1;1;2;5;2;11;1;02;519,302522136668
3139202;1;2;2;5;2;19;1;02;519,302522136668
3139202;1;3;2;5;2;19;1;02;519,302522136668
3139203;1;1;1; ; ; ; ;02;416,57585752087
3139204;1;1;2;6; ; ; ;02;528,755206405009
3139204;1;2;1; ; ; ; ;02;528,755206405009
3139204;1;3;1; ; ; ; ;02;528,755206405009
3139206;1;1;2;6; ; ; ;02;171,795574685481
3139207;1;1;2;6; ; ; ;02;160,028161916123
3139208;1;1;2;6; ; ; ;02;160,028161916123
3139209;1;1;2;6; ; ; ;02;138,463406828717
3139209;1;2;2;6; ; ; ;02;138,463406828717
3139210;1;1;1; ; ; ; ;02;199,781762980728
3139210;1;2;1; ; ; ; ;02;199,781762980728
3139210;1;3;1; ; ; ; ;02;199,781762980728
3139213;1;1;1; ; ; ; ;02;149,570813199831
3139213;1;2;1; ; ; ; ;02;149,570813199831
3139213;1;3;1; ; ; ; ;02;149,570813199831
3139214;1;1;2;6; ; ; ;02;182,52397394291
3139214;1;2;2;3;2;52;2;02;182,52397394291
3139214;1;3;2;6; ; ; ;02;182,52397394291
3139214;1;4;2;6; ; ; ;02;182,52397394291
3139214;1;5;1; ; ; ; ;02;182,52397394291
3139215;1;1;2;6; ; ; ;02;133,9940121363
3139215;1;2;2;6; ; ; ;02;133,9940121363
3139215;1;3;2;6; ; ; ;02;133,9940121363
3139216;1;1;2;6; ; ; ;02;236,474155699839
3139216;1;2;2;6; ; ; ;02;236,474155699839
3139216;1;3;1; ; ; ; ;02;236,474155699839
3139217;1;1;1; ; ; ; ;02;176,251735468336
3139217;1;2;1; ; ; ; ;02;176,251735468336
3139219;1;1;2;3;2;52;2;02;211,15396340518
3139219;1;2;2;1;2;52;2;02;211,15396340518
3139219;1;3;2;1;2;52;2;02;211,15396340518
3139219;1;4;2;1;2;52;2;02;211,15396340518
3139220;1;1;2;5;2;52;2;02;209,793233431333
3139220;1;2;2;5;2;52;2;02;209,793233431333
3139220;1;3;2;5;2;52;2;02;209,793233431333
3139220;1;4;2;5;2;52;2;02;209,793233431333
3139221;1;1;1; ; ; ; ;02;137,523359096427
3139221;1;2;1; ; ; ; ;02;137,523359096427
3139221;1;3;1; ; ; ; ;02;137,523359096427
3139221;2;1;1; ; ; ; ;02;137,523359096427
3139221;2;2;1; ; ; ; ;02;137,523359096427
3139221;2;3;1; ; ; ; ;02;137,523359096427
3139225;1;1;2;6; ; ; ;02;233,173739940293
3139231;1;1;2;6; ; ; ;02;420,954529980405
3139231;1;2;2;6; ; ; ;02;420,954529980405
3139231;1;3;1; ; ; ; ;02;420,954529980405
3139232;1;1;2;6; ; ; ;02;147,330955992278
3139232;1;2;1; ; ; ; ;02;147,330955992278
